GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.nagarro.account.exception,CustomExceptionHandler,0,59,0,0,0,11,0,3,0,3
account-service,com.nagarro.account.exception,InvalidInputException,0,4,0,0,0,2,0,1,0,1
account-service,com.nagarro.account.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
account-service,com.nagarro.account.exception,ErrorResponse,0,21,0,0,0,4,0,4,0,4
account-service,com.nagarro.account.dto,StatementResponse,0,45,0,0,0,8,0,13,0,13
account-service,com.nagarro.account.controller,AccountController,0,23,0,0,0,5,0,3,0,3
account-service,com.nagarro.account.util,ValidationHandler,0,162,0,28,0,47,0,20,0,6
account-service,com.nagarro.account.util,AccountUtil,1,196,0,32,1,43,0,22,0,6
account-service,com.nagarro.account,AccountServiceApplication,0,8,0,0,0,3,0,2,0,2
account-service,com.nagarro.account.repository.impl,AccountRepositoryImpl,6,41,0,2,2,6,0,5,0,4
account-service,com.nagarro.account.security,LoginSecurityConfig,0,98,0,0,0,24,0,5,0,5
account-service,com.nagarro.account.config,CustomAccessDeniedHandler,35,8,0,0,11,2,1,1,1,1
account-service,com.nagarro.account.service.impl,AccountServiceImpl,5,79,0,10,1,17,0,8,0,3
